"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade03",,,,"User:","root"
"Cmdline:","dstat --output=res-OLTP-RO-memory-disk-samsung-8t-wt/mongowt.BP188/thr112/dstat.txt 10",,,,"Date:","31 May 2016 18:13:33 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.945,2.013,86.845,1.967,0.0,0.229,26432193.175,63542285.744,0.0,0.0,35.613,11216.646,18510.182,183880.514
53.393,11.675,32.118,0.0,0.0,2.814,0.0,11878.400,135.400,2056.0,0.0,0.0,45220.300,1021396.800
53.883,11.896,31.407,0.0,0.0,2.814,0.0,9830.400,31.200,36.400,0.0,0.0,41260.500,1030753.900
53.922,11.931,31.339,0.0,0.0,2.807,0.0,9830.400,6.600,24.600,0.0,0.0,42589.0,1031649.0
53.861,11.825,31.495,0.0,0.0,2.819,0.0,9830.400,36.200,24.600,0.0,0.0,41168.600,1030426.400
54.090,11.785,31.296,0.0,0.0,2.829,0.0,9011.200,24.200,24.600,0.0,0.0,41293.400,1026349.700
53.832,12.032,31.327,0.0,0.0,2.810,0.0,12697.600,31.800,48.200,0.0,0.0,40896.300,1026585.500
53.856,11.855,31.482,0.002,0.0,2.805,0.0,11059.200,24.600,24.600,0.0,0.0,44961.100,1025592.400
53.835,12.011,31.286,0.0,0.0,2.868,0.0,11468.800,6.600,24.600,0.0,0.0,41265.200,1028125.700
54.008,11.790,31.338,0.0,0.0,2.863,0.0,22118.400,24.600,24.600,0.0,0.0,41218.800,1026735.900
54.140,11.842,31.238,0.0,0.0,2.780,0.0,14336.0,12.600,24.600,0.0,0.0,41206.700,1028484.600
53.956,11.962,31.128,0.002,0.0,2.953,0.0,11468.800,18.600,24.600,0.0,0.0,42478.700,1033344.0
53.567,11.986,31.590,0.0,0.0,2.857,0.0,11468.800,31.200,36.400,0.0,0.0,43302.300,1024771.0
54.052,11.838,31.308,0.0,0.0,2.801,0.0,14336.0,6.600,24.600,0.0,0.0,41254.800,1025587.100
54.134,11.854,31.178,0.0,0.0,2.834,0.0,11468.800,58.800,24.600,0.0,0.0,41374.700,1030369.600
53.822,11.818,31.462,0.0,0.0,2.898,0.0,11878.400,52.800,24.600,0.0,0.0,41039.600,1027221.400
53.695,11.929,31.546,0.0,0.0,2.829,0.0,24166.400,24.200,24.600,0.0,0.0,43298.300,1024050.900
53.964,11.858,31.274,0.0,0.0,2.904,0.0,1228.800,70.400,24.600,0.0,0.0,41040.400,1026386.600
54.074,11.830,31.280,0.0,0.0,2.817,0.0,5734.400,49.800,33.600,0.0,0.0,41106.300,1021692.600
54.008,12.021,31.191,0.0,0.0,2.779,0.0,6553.600,58.800,24.600,0.0,0.0,41180.200,1028837.600
53.893,11.901,31.332,0.0,0.0,2.874,0.0,6963.200,58.800,24.600,0.0,0.0,42341.400,1025758.600
54.080,11.953,31.128,0.0,0.0,2.838,819.200,8192.0,40.800,24.600,0.0,0.0,41555.500,1034647.200
53.893,11.875,31.408,0.0,0.0,2.825,0.0,27443.200,46.800,24.600,0.0,0.0,41156.800,1027466.300
53.571,11.838,31.738,0.0,0.0,2.854,0.0,8192.0,57.0,31.200,0.0,0.0,40638.800,1020345.600
53.666,11.877,31.572,0.0,0.0,2.885,0.0,8601.600,59.400,36.400,0.0,0.0,44691.400,1023771.400
53.774,11.811,31.636,0.0,0.0,2.779,0.0,9011.200,65.400,36.400,0.0,0.0,41920.600,1028369.100
53.693,11.919,31.581,0.0,0.0,2.807,0.0,10240.0,46.800,24.600,0.0,0.0,40807.0,1027117.0
53.597,11.991,31.605,0.0,0.0,2.808,0.0,9011.200,46.800,24.600,0.0,0.0,40916.500,1027335.100
53.742,11.907,31.495,0.0,0.0,2.856,0.0,9011.200,77.0,36.400,0.0,0.0,40949.100,1027327.400
53.808,11.912,31.471,0.0,0.0,2.808,0.0,9011.200,86.600,24.600,0.0,0.0,44490.800,1024928.900
53.755,11.776,31.611,0.0,0.0,2.857,0.0,9830.400,24.600,24.600,0.0,0.0,40741.700,1027072.900
