"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade03",,,,"User:","root"
"Cmdline:","dstat --output=res-OLTP-RO-memory-disk-samsung-8t-rocks/mongowt.BP36/thr56/dstat.txt 10",,,,"Date:","02 Jun 2016 15:29:10 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.647,2.032,86.835,2.183,0.0,0.303,27708434.173,75215940.152,0.0,0.0,187.839,89671.712,15950.433,193936.793
23.105,4.081,35.046,36.834,0.0,0.933,448929792.0,9420.800,85.200,1104.400,0.0,0.0,64572.400,327341.700
23.310,3.975,34.890,36.889,0.0,0.935,448768819.200,16384.0,18.600,24.600,0.0,0.0,64556.500,326634.200
23.207,4.056,35.104,36.718,0.0,0.915,448813465.600,7782.400,18.600,24.600,0.0,0.0,64380.0,326265.200
23.228,3.998,35.318,36.535,0.0,0.922,448826163.200,8192.0,18.600,24.600,0.0,0.0,66320.800,326391.0
23.224,4.046,35.284,36.483,0.0,0.963,448494796.800,8601.600,28.800,31.200,0.0,0.0,64697.300,326636.500
23.285,3.989,35.050,36.774,0.0,0.903,448594739.200,10649.600,12.600,24.600,0.0,0.0,64732.800,326913.700
23.190,4.056,35.191,36.658,0.0,0.905,448516096.0,7782.400,38.0,49.200,0.0,0.0,64731.100,327363.200
23.248,4.005,35.250,36.571,0.0,0.925,448222822.400,8192.0,18.600,24.600,0.0,0.0,64992.600,327049.600
23.222,3.936,35.288,36.596,0.0,0.958,448070451.200,8192.0,30.200,0.0,0.0,0.0,64620.300,327185.400
23.178,4.007,35.252,36.675,0.0,0.888,448487424.0,7782.400,18.600,49.200,0.0,0.0,64449.600,326720.900
23.131,4.003,35.276,36.600,0.0,0.990,447913574.400,8601.600,31.800,15.600,0.0,0.0,64944.200,327152.700
23.069,4.045,35.436,36.543,0.0,0.908,448304742.400,8601.600,18.600,49.200,0.0,0.0,65871.600,326664.400
23.230,4.054,35.256,36.526,0.0,0.934,448119193.600,11878.400,18.600,24.600,0.0,0.0,68951.200,326995.0
23.249,3.969,35.270,36.584,0.0,0.928,448031129.600,9420.800,12.600,24.600,0.0,0.0,64857.400,326648.400
23.280,3.986,35.113,36.688,0.0,0.934,447787417.600,19251.200,18.600,24.600,0.0,0.0,65114.200,326403.800
23.224,4.006,35.415,36.476,0.0,0.880,447572377.600,8601.600,18.600,0.0,0.0,0.0,64691.300,327331.200
23.173,4.010,35.426,36.507,0.0,0.884,447986483.200,9830.400,18.600,24.600,0.0,0.0,68539.200,326826.0
23.135,4.032,35.346,36.542,0.0,0.946,448098304.0,10649.600,35.800,55.800,0.0,0.0,65016.500,327833.200
23.270,3.928,35.400,36.465,0.0,0.937,447864832.0,11468.800,24.200,24.600,0.0,0.0,65012.700,327736.200
23.301,3.937,35.319,36.521,0.0,0.923,447693619.200,10240.0,18.600,24.600,0.0,0.0,65347.100,327683.300
23.162,4.020,35.378,36.522,0.0,0.918,447571558.400,9420.800,30.200,24.600,0.0,0.0,66762.500,327507.500
23.254,3.935,35.228,36.690,0.0,0.893,447440896.0,9420.800,18.600,0.0,0.0,0.0,65199.700,327915.200
23.152,4.051,35.318,36.555,0.0,0.925,447569920.0,9420.800,18.600,49.200,0.0,0.0,65282.600,327998.900
23.268,3.922,35.395,36.497,0.0,0.918,447476121.600,9830.400,22.800,31.200,0.0,0.0,65201.0,328259.600
23.331,3.961,35.234,36.557,0.0,0.917,447217664.0,11059.200,18.600,24.600,0.0,0.0,67394.800,327710.700
23.240,3.992,35.154,36.671,0.0,0.942,447346688.0,6963.200,24.600,24.600,0.0,0.0,66816.800,328235.400
23.355,3.995,35.341,36.395,0.0,0.914,447448268.800,8192.0,12.600,24.600,0.0,0.0,65114.900,328469.600
23.116,4.120,35.241,36.616,0.0,0.908,447287296.0,15974.400,36.600,24.600,0.0,0.0,65264.500,327412.600
23.173,4.050,35.326,36.570,0.0,0.881,447131648.0,7372.800,12.600,24.600,0.0,0.0,65225.600,327297.300
23.249,4.055,35.102,36.650,0.0,0.944,446785126.400,7782.400,34.800,6.600,0.0,0.0,70473.0,328211.500
