You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  18M   24M|   0     0 |   0     0 |  25k   69k
  0   1  99   0   0   0|2988k   50k|   7B    0 |   0     0 | 779   874 
 11   3  55  31   0   0| 444M   18k|6908k   69M|   0     0 | 116k  172k
 20   4  47  29   0   1| 473M 1229B|  12M  121M|   0     0 | 180k  256k
 30   6  33  30   0   1| 474M 1229B|  17M  174M|   0     0 | 248k  444k
 46  10  26  17   0   2| 461M 6451B|  22M  228M|   0     0 | 322k  818k
 52  12  28   6   0   2| 383M 1229B|  24M  244M|   0     0 | 345k  966k
 53  12  29   3   0   2| 315M 1229B|  24M  245M|   0     0 | 343k  978k
 53  12  30   2   0   2| 269M 1536B|  24M  245M|   0     0 | 340k  981k
 53  12  31   2   0   2| 236M 1229B|  24M  245M|   0     0 | 337k  980k
 53  12  31   2   0   2| 213M 1229B|  24M  245M|   0     0 | 337k  988k
 52  12  32   1   0   2| 193M 1536B|  24M  245M|   0     0 | 335k  985k
 52  12  32   1   0   2| 177M 1229B|  24M  245M|   0     0 | 334k  987k
 52  12  32   1   0   2| 166M 8192B|  24M  245M|   0     0 | 334k  988k
 52  12  33   1   0   2| 155M 6502B|  24M  244M|   0     0 | 332k  985k
 52  12  33   1   0   2| 146M 1229B|  24M  245M|   0     0 | 335k  985k
 51  12  33   1   0   2| 137M 1229B|  24M  244M|   0     0 | 331k  983k
 52  12  33   1   0   2| 130M 4045B|  24M  244M|   0     0 | 331k  982k
 52  12  33   1   0   2| 125M 1229B|  24M  245M|   0     0 | 331k  982k
 52  12  33   1   0   2| 118M 1229B|  24M  245M|   0     0 | 333k  983k
