You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  18M   24M|   0     0 |   0     0 |  25k   69k
  0   1  99   0   0   0|3616k   60k|  13B   15B|   0     0 | 798   978 
 11   3  54  32   0   0| 456M 9011B|7160k   71M|   0     0 | 119k  176k
 20   4  46  30   0   1| 474M 4506B|  12M  123M|   0     0 | 182k  258k
 30   6  33  29   0   1| 474M 3635B|  17M  176M|   0     0 | 250k  448k
 47  10  25  16   0   2| 459M 1229B|  22M  229M|   0     0 | 323k  810k
 54  12  26   5   0   2| 379M 1229B|  24M  242M|   0     0 | 342k  935k
 54  12  28   3   0   2| 311M 4762B|  24M  243M|   0     0 | 339k  945k
 55  12  29   2   0   2| 267M 1229B|  24M  243M|   0     0 | 337k  951k
 54  12  31   2   0   2| 232M 1229B|  23M  241M|   0     0 | 337k  960k
 53  11  32   1   0   2| 207M 1587B|  23M  237M|   0     0 | 330k  963k
 53  11  32   1   0   2| 187M 1229B|  23M  236M|   0     0 | 328k  963k
 52  11  33   1   0   2| 171M 1229B|  23M  234M|   0     0 | 326k  959k
 52  11  34   1   0   2| 160M   11k|  23M  234M|   0     0 | 326k  958k
 52  11  34   1   0   2| 150M 6144B|  23M  234M|   0     0 | 325k  957k
 52  11  34   1   0   2| 141M 1229B|  23M  233M|   0     0 | 322k  954k
 52  11  34   1   0   2| 133M 1587B|  23M  234M|   0     0 | 323k  954k
 52  11  34   1   0   2| 127M 1229B|  23M  233M|   0     0 | 322k  964k
 52  11  34   1   0   2| 120M 1229B|  23M  232M|   0     0 | 322k  957k
 52  11  34   1   0   2| 115M 3994B|  23M  233M|   0     0 | 322k  958k
