You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  18M   24M|   0     0 |   0     0 |  25k   69k
  0   1  99   0   0   0|2991k   46k|  19B    0 |   0     0 | 897   911 
 11   3  55  31   0   0| 446M 8602B|6942k   69M|   0     0 | 115k  170k
 19   4  46  30   0   1| 473M   12k|  12M  122M|   0     0 | 182k  252k
 30   6  34  30   0   1| 474M 1229B|  17M  174M|   0     0 | 248k  433k
 45  10  26  18   0   2| 464M 1229B|  23M  231M|   0     0 | 324k  806k
 52  12  27   6   0   2| 391M 4813B|  24M  250M|   0     0 | 352k  987k
 52  13  30   3   0   2| 319M 1229B|  24M  251M|   0     0 | 350k 1000k
 53  12  30   2   0   2| 273M 1229B|  24M  251M|   0     0 | 351k 1008k
 52  12  31   2   0   2| 240M 1536B|  25M  252M|   0     0 | 346k 1007k
 52  12  32   2   0   2| 215M 1229B|  24M  251M|   0     0 | 344k 1009k
 52  12  32   1   0   2| 195M 1229B|  24M  250M|   0     0 | 341k 1010k
 52  12  33   1   0   2| 180M 1536B|  24M  251M|   0     0 | 344k 1013k
 52  12  33   1   0   2| 167M 7782B|  24M  251M|   0     0 | 340k 1013k
 52  12  33   1   0   2| 157M 6144B|  24M  251M|   0     0 | 340k 1008k
 52  12  33   1   0   2| 147M 1587B|  24M  251M|   0     0 | 340k 1019k
 51  12  34   1   0   2| 139M 1229B|  24M  250M|   0     0 | 339k 1012k
 51  12  34   1   0   2| 131M 1229B|  24M  250M|   0     0 | 337k 1020k
 51  11  35   1   0   2| 124M 4096B|  24M  247M|   0     0 | 335k 1024k
 50  11  36   1   0   2| 117M 1229B|  24M  244M|   0     0 | 332k 1022k
