You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  17M   24M|   0     0 |   0     0 |  25k   68k
  1   1  95   2   0   0|  60M   48k| 346k 3442k|   0     0 |8092    14k
 27   4  36  32   0   1| 443M   10k|  10M  103M|   0     0 | 173k  311k
 48   8  23  20   0   1| 432M   14k|  16M  162M|   0     0 | 259k  651k
 56  10  25   7   0   2| 353M 1229B|  18M  180M|   0     0 | 287k  816k
 56  10  28   4   0   2| 281M 1229B|  18M  180M|   0     0 | 279k  826k
 56  10  29   3   0   2| 239M 3174B|  18M  182M|   0     0 | 276k  831k
 56  10  30   2   0   2| 208M 1229B|  18M  183M|   0     0 | 274k  832k
 56  10  30   2   0   2| 184M 1229B|  18M  182M|   0     0 | 273k  833k
 56  10  31   2   0   2| 166M 1843B|  18M  183M|   0     0 | 270k  833k
 56  10  31   2   0   2| 150M 1229B|  18M  183M|   0     0 | 268k  833k
 55  10  31   1   0   2| 140M 1229B|  18M  182M|   0     0 | 266k  831k
 55  10  31   1   0   2| 129M 1536B|  18M  183M|   0     0 | 267k  831k
 55  10  32   1   0   2| 122M   12k|  18M  183M|   0     0 | 265k  834k
 55  10  32   1   0   2| 113M 6144B|  18M  182M|   0     0 | 263k  833k
 55  10  32   1   0   2| 108M 1638B|  18M  182M|   0     0 | 262k  831k
 55  10  33   1   0   2| 102M 1229B|  18M  182M|   0     0 | 264k  831k
 54  10  33   1   0   2|  98M 1229B|  18M  181M|   0     0 | 260k  830k
 55  10  33   1   0   2|  93M 5683B|  18M  182M|   0     0 | 260k  831k
 51   9  37   1   0   2|  84M 1229B|  17M  172M|   0     0 | 245k  782k
