"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem70-wt-ext4-wt2-uniform-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 00:29:04 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.800,4.401,79.687,0.241,0.0,0.872,1234948.242,44442089.983,0.0,0.0,18087.104,102102.441,213129.541,326658.041
10.927,3.774,74.142,10.543,0.0,0.614,196822579.200,45260.800,9356290.700,20459482.400,0.0,0.0,165586.200,184391.100
39.304,12.133,31.807,13.765,0.0,2.991,461703987.200,2457.600,33042783.700,71993482.500,0.0,0.0,663557.700,810541.100
40.953,12.818,39.754,3.188,0.0,3.287,335031910.400,1638.400,34791802.200,76245893.800,0.0,0.0,710302.500,878929.400
40.892,12.183,42.007,1.727,0.0,3.192,247596236.800,6809.600,34910083.700,76325851.400,0.0,0.0,706006.500,875736.800
40.455,11.898,43.244,1.169,0.0,3.234,186063667.200,1638.400,35083456.600,76697560.500,0.0,0.0,710168.500,876562.600
40.357,11.904,43.938,0.823,0.0,2.978,139116134.400,1638.400,35081157.700,76595267.0,0.0,0.0,702878.700,876040.500
39.924,11.756,44.865,0.604,0.0,2.851,104912076.800,1894.400,35061922.500,76631606.600,0.0,0.0,702787.100,878290.500
38.859,12.073,45.108,0.439,0.0,3.521,78232371.200,1638.400,35000034.500,77024361.100,0.0,0.0,702002.700,879961.500
39.848,11.438,45.253,0.321,0.0,3.139,58190233.600,6963.200,34986533.500,76720561.700,0.0,0.0,703759.800,877453.900
39.902,11.518,45.172,0.238,0.0,3.170,44242944.0,1894.400,35140494.600,76277790.900,0.0,0.0,701565.800,878891.200
39.594,11.569,45.394,0.175,0.0,3.268,33233715.200,1638.400,35119160.900,76801509.300,0.0,0.0,701362.300,879324.600
39.573,11.598,45.641,0.137,0.0,3.051,25141248.0,1638.400,35132371.700,76664358.300,0.0,0.0,700629.100,877927.700
39.121,11.725,45.907,0.096,0.0,3.150,18242867.200,21964.800,35042248.0,76262479.900,0.0,0.0,701187.800,877149.0
39.342,11.589,45.790,0.078,0.0,3.202,14167244.800,2867.200,35130138.700,76933780.400,0.0,0.0,699951.400,877240.700
39.450,11.405,45.974,0.059,0.0,3.113,10556211.200,1638.400,35068343.400,76562775.500,0.0,0.0,699104.200,875884.800
39.259,11.708,45.756,0.039,0.0,3.238,7849164.800,1996.800,35179556.500,76721753.300,0.0,0.0,700660.200,877815.400
39.219,11.608,45.957,0.031,0.0,3.184,5872025.600,1638.400,35090941.0,76460886.900,0.0,0.0,700641.100,877891.400
39.475,11.427,45.917,0.022,0.0,3.159,4408934.400,1638.400,35122795.600,76832155.300,0.0,0.0,701710.500,877692.500
