"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem190-rocks-ext4-rocks0-uniform-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 00:01:41 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.742,4.383,79.771,0.237,0.0,0.867,899006.341,44486695.296,0.0,0.0,18134.341,102369.096,212100.579,325506.927
17.361,5.926,68.929,6.633,0.0,1.150,202062694.400,46607769.600,11382634.800,24865548.0,0.0,0.0,250470.100,314980.900
48.050,14.748,28.944,4.937,0.0,3.321,330970316.800,1638.400,32051356.800,69827029.400,0.0,0.0,713213.600,917739.100
47.432,14.788,31.930,2.593,0.0,3.257,248925798.400,16947.200,32115234.200,70363440.400,0.0,0.0,703562.800,913899.800
46.907,14.637,33.126,1.911,0.0,3.419,199582105.600,1638.400,32299485.0,70702295.500,0.0,0.0,698528.700,908315.500
46.752,14.239,34.254,1.531,0.0,3.224,161466777.600,1638.400,32230230.200,70503510.900,0.0,0.0,695050.400,905547.600
46.431,14.474,34.550,1.219,0.0,3.326,131072819.200,3584.0,32312712.800,70542181.800,0.0,0.0,700312.600,907109.900
46.148,14.184,35.401,0.997,0.0,3.269,106069196.800,1638.400,32111396.900,70100596.500,0.0,0.0,692046.300,907543.0
45.948,14.155,35.845,0.816,0.0,3.237,86500556.800,1638.400,31889078.200,70000015.600,0.0,0.0,686337.300,902262.0
45.643,14.366,36.180,0.680,0.0,3.132,71533363.200,1945.600,31859711.100,69980659.400,0.0,0.0,688697.300,909446.800
45.615,13.847,36.803,0.562,0.0,3.173,57863372.800,1638.400,31906032.100,69666905.300,0.0,0.0,687323.600,900157.900
45.452,13.989,36.817,0.471,0.0,3.272,48662118.400,1638.400,32032670.200,69774319.200,0.0,0.0,683840.500,900008.500
45.460,13.814,37.047,0.403,0.0,3.276,40632729.600,1945.600,31983123.700,69987002.100,0.0,0.0,683943.300,902321.200
45.326,13.951,37.159,0.340,0.0,3.224,33616281.600,19251.200,31994949.600,69743410.600,0.0,0.0,682234.600,899554.0
45.327,13.748,37.459,0.281,0.0,3.185,27594752.0,4096.0,32024713.800,69683137.800,0.0,0.0,681263.800,895639.0
45.291,13.889,37.448,0.234,0.0,3.139,23135846.400,2048.0,32041011.300,69981708.0,0.0,0.0,683800.600,901431.300
45.274,13.764,37.628,0.201,0.0,3.134,19248332.800,1638.400,32012605.400,70119260.700,0.0,0.0,680328.700,897320.900
45.286,13.812,37.518,0.169,0.0,3.215,15945318.400,1638.400,32108579.700,69897244.0,0.0,0.0,683019.100,901765.0
45.084,13.837,37.814,0.140,0.0,3.125,13615104.0,6092.800,32026617.400,69936685.500,0.0,0.0,681869.100,898839.500
