"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem200-rocks-ext4-rocks0-uniform-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 00:04:50 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.751,4.385,79.759,0.237,0.0,0.868,927769.636,44474023.722,0.0,0.0,18128.873,102338.230,212233.652,325666.760
16.779,5.751,69.539,6.825,0.0,1.106,200978483.200,69682073.600,11302242.400,24698864.200,0.0,0.0,245241.900,308124.100
47.623,15.431,28.528,5.065,0.0,3.354,335671705.600,20172.800,32544535.100,70897832.900,0.0,0.0,718877.500,925358.300
47.179,15.149,31.606,2.641,0.0,3.424,251974451.200,1638.400,32699377.400,71667858.500,0.0,0.0,713033.0,925808.700
46.874,15.132,32.775,1.917,0.0,3.302,201013248.0,6553.600,32744024.100,71632612.600,0.0,0.0,715618.200,925007.400
46.601,14.626,33.920,1.520,0.0,3.334,162393292.800,3584.0,32805042.0,71829331.600,0.0,0.0,705569.900,920062.900
46.656,14.601,34.157,1.218,0.0,3.368,131613900.800,1638.400,32973781.300,71911794.400,0.0,0.0,703871.800,918632.700
46.297,14.681,34.775,0.990,0.0,3.257,106831462.400,1638.400,32824578.800,71698242.400,0.0,0.0,701537.200,918992.200
45.819,14.323,35.693,0.809,0.0,3.355,86460006.400,1945.600,32557598.700,71498190.300,0.0,0.0,700290.700,914433.600
45.583,14.386,36.017,0.675,0.0,3.339,70535577.600,1638.400,32490435.100,71362589.900,0.0,0.0,695339.500,915361.500
45.631,14.440,36.077,0.553,0.0,3.299,57442713.600,1638.400,32676396.500,71285939.0,0.0,0.0,697015.600,917642.600
45.126,14.446,36.600,0.468,0.0,3.360,48295936.0,1945.600,32612163.800,71158001.400,0.0,0.0,693044.200,911735.600
45.115,14.315,36.871,0.402,0.0,3.297,39857766.400,1638.400,32716745.0,71295723.100,0.0,0.0,692612.300,909825.200
45.188,14.116,37.136,0.324,0.0,3.236,32765132.800,20480.0,32531135.700,71058064.200,0.0,0.0,692400.300,909689.400
45.054,14.107,37.263,0.269,0.0,3.307,26773094.400,4505.600,32495866.600,70761989.700,0.0,0.0,689675.300,909378.400
45.041,14.116,37.445,0.225,0.0,3.173,22433382.400,1638.400,32640075.800,71472013.500,0.0,0.0,689818.500,907349.300
45.279,14.255,36.962,0.193,0.0,3.311,18857984.0,1638.400,32781199.500,71505924.400,0.0,0.0,692204.900,911897.700
45.110,14.346,37.001,0.158,0.0,3.384,15495577.600,6092.800,32733370.900,71424335.0,0.0,0.0,699244.500,913555.900
45.045,14.159,37.391,0.132,0.0,3.272,13060505.600,1638.400,32651833.300,71154366.100,0.0,0.0,689559.200,908753.200
