"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem140-wt-ext4-wt2-pareto-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 03:01:41 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
15.220,4.496,79.133,0.257,0.0,0.894,2497216.878,43983614.846,0.0,0.0,17828.224,100641.055,218721.171,333744.213
10.903,3.168,73.145,12.367,0.0,0.417,217690419.200,31515033.600,6425375.300,54810959.600,0.0,0.0,136944.100,155861.300
49.802,13.911,28.615,4.951,0.0,2.722,337646796.800,1638.400,26917779.800,229606209.900,0.0,0.0,713662.500,980600.600
49.537,13.952,32.457,1.340,0.0,2.714,196861132.800,13260.800,27155420.400,231644124.300,0.0,0.0,718862.700,997865.900
49.274,13.921,33.149,0.897,0.0,2.759,146375065.600,1638.400,27154426.100,231303107.400,0.0,0.0,722061.300,998929.300
49.134,13.832,33.700,0.699,0.0,2.635,117286502.400,1638.400,27215578.800,232157751.900,0.0,0.0,716950.900,1000095.300
48.765,13.845,34.152,0.553,0.0,2.686,96530022.400,5222.400,27113120.600,231035973.600,0.0,0.0,715122.0,999097.300
48.547,13.482,34.771,0.464,0.0,2.735,80568320.0,1638.400,27117558.600,231331730.700,0.0,0.0,714292.400,998763.400
48.684,13.545,34.757,0.392,0.0,2.622,69611110.400,1638.400,27128657.100,231333089.700,0.0,0.0,716717.700,997456.900
48.864,13.249,34.846,0.339,0.0,2.702,60785868.800,1945.600,27112964.900,231162586.100,0.0,0.0,713847.0,999022.200
48.572,13.233,35.123,0.292,0.0,2.779,53520384.0,1638.400,27047123.500,230701664.500,0.0,0.0,711445.200,994641.600
48.497,13.452,35.112,0.265,0.0,2.673,47985049.600,1638.400,27094160.100,231158643.300,0.0,0.0,713042.600,998281.500
48.799,13.328,34.940,0.237,0.0,2.695,42499686.400,2252.800,27166329.500,231567532.800,0.0,0.0,717748.0,1003038.100
48.729,13.229,35.125,0.201,0.0,2.716,37680025.600,11878.400,27096574.100,230843818.200,0.0,0.0,711699.300,995308.600
48.701,13.305,35.099,0.187,0.0,2.708,34395750.400,5734.400,27138682.200,231251459.500,0.0,0.0,714225.500,1000897.300
48.675,13.306,35.113,0.164,0.0,2.742,31378636.800,1996.800,27228391.200,231903739.400,0.0,0.0,714805.100,1001922.600
48.509,13.418,35.200,0.153,0.0,2.720,28202598.400,1638.400,27203149.200,231983938.700,0.0,0.0,713449.300,998737.800
48.426,13.271,35.468,0.133,0.0,2.703,25426329.600,1638.400,27177711.500,231533344.300,0.0,0.0,713435.100,998395.900
48.362,13.440,35.332,0.129,0.0,2.736,24147968.0,4454.400,27105307.800,230735214.500,0.0,0.0,710844.100,995033.600
