"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem150-rocks-ext4-rocks0-pareto-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 01:59:47 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
15.038,4.455,79.370,0.252,0.0,0.886,2008457.062,44164597.193,0.0,0.0,17932.329,101228.733,216429.875,330665.854
20.590,5.178,65.188,8.265,0.0,0.780,215968512.0,46619187.200,7646121.300,65213008.800,0.0,0.0,226404.900,307307.0
52.764,12.483,30.027,2.531,0.0,2.195,210372608.0,1638.400,19550412.600,166479057.300,0.0,0.0,600042.200,856059.500
52.631,12.470,31.347,1.396,0.0,2.156,133992448.0,1638.400,19735655.400,168457630.0,0.0,0.0,592065.700,855034.900
52.005,12.357,32.463,1.049,0.0,2.126,103775846.400,6041.600,19657516.500,167611445.900,0.0,0.0,590864.400,858541.300
52.080,12.626,32.347,0.859,0.0,2.088,86575513.600,4096.0,19700531.900,167623008.600,0.0,0.0,588487.100,854288.300
52.118,12.167,32.824,0.734,0.0,2.157,74728652.800,1638.400,19734003.700,168276772.400,0.0,0.0,591246.700,855637.100
52.225,12.204,32.867,0.640,0.0,2.064,65870643.200,1945.600,19718835.0,167827306.700,0.0,0.0,586405.600,852631.800
51.673,12.042,33.690,0.575,0.0,2.020,57885081.600,1638.400,19605429.800,166906305.500,0.0,0.0,585231.900,853389.100
51.523,12.360,33.610,0.469,0.0,2.037,52028211.200,1638.400,19623561.300,167574327.700,0.0,0.0,585559.200,853694.500
51.859,12.271,33.351,0.420,0.0,2.100,47167897.600,1945.600,19683054.900,167327064.400,0.0,0.0,586841.700,854165.600
51.407,12.490,33.606,0.386,0.0,2.111,43696947.200,1638.400,19656196.600,167785456.0,0.0,0.0,585021.900,853394.100
51.392,12.367,33.831,0.350,0.0,2.060,39249920.0,1638.400,19657331.500,167542763.600,0.0,0.0,585068.200,854155.600
51.238,12.251,34.048,0.321,0.0,2.143,36267315.200,15564.800,19599975.600,167175325.800,0.0,0.0,583737.100,852503.0
51.445,12.353,33.880,0.302,0.0,2.020,34236006.400,4096.0,19643131.500,167644261.800,0.0,0.0,588269.600,853361.400
51.559,12.287,33.797,0.280,0.0,2.076,31379456.0,1638.400,19607194.0,166972057.900,0.0,0.0,584600.100,851182.900
51.163,12.436,34.100,0.260,0.0,2.041,29239705.600,6092.800,19609444.800,167003449.400,0.0,0.0,584207.600,853462.100
51.684,12.013,34.015,0.248,0.0,2.041,27067596.800,1638.400,19648364.600,167537990.100,0.0,0.0,584036.100,852784.200
51.642,12.069,34.024,0.232,0.0,2.032,25682329.600,1638.400,19753234.200,167823545.500,0.0,0.0,585752.0,855823.700
