"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem120-rocks-ext4-rocks0-uniform-100-oltp_ro.log 10",,,,"Date:","31 May 2016 23:39:32 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.682,4.363,79.858,0.234,0.0,0.862,696578.391,44575674.590,0.0,0.0,18172.732,102585.814,211156.028,324386.716
17.371,5.873,68.831,6.777,0.0,1.147,206141900.800,23124787.200,11702441.200,25588576.900,0.0,0.0,251289.700,310873.100
47.351,15.494,28.580,5.004,0.0,3.571,336704716.800,1638.400,32868048.700,71540999.600,0.0,0.0,715817.800,914699.600
47.103,15.318,31.422,2.596,0.0,3.561,252972236.800,16947.200,33045667.100,72468598.600,0.0,0.0,710529.100,914668.0
47.091,14.970,32.622,1.884,0.0,3.432,201405235.200,1638.400,33069652.300,72392755.100,0.0,0.0,708597.800,917020.100
46.480,14.611,33.925,1.476,0.0,3.508,161903001.600,1638.400,33031110.0,72234274.800,0.0,0.0,705906.300,909874.400
46.507,14.805,34.042,1.197,0.0,3.449,131240755.200,9318.400,33206637.200,72475956.800,0.0,0.0,711309.100,920495.500
45.847,14.859,34.947,0.954,0.0,3.393,106201088.0,1638.400,33051374.200,72202485.900,0.0,0.0,702247.300,914177.200
45.712,14.692,35.481,0.785,0.0,3.329,85765734.400,1638.400,32754520.0,71963747.200,0.0,0.0,698851.500,913942.400
45.641,14.816,35.532,0.634,0.0,3.377,70012518.400,1945.600,32710569.300,71888974.900,0.0,0.0,698451.800,916635.200
45.660,14.343,36.284,0.525,0.0,3.188,56641126.400,1638.400,32803791.0,71481625.500,0.0,0.0,700502.0,910209.800
45.246,14.409,36.552,0.456,0.0,3.337,47955558.400,1638.400,32875589.200,71838485.600,0.0,0.0,696641.700,913402.400
45.366,14.241,36.546,0.375,0.0,3.471,39600128.0,1945.600,32968976.600,71647539.500,0.0,0.0,694794.500,908675.400
45.552,14.333,36.438,0.310,0.0,3.367,32385433.600,21299.200,32881510.200,71800528.0,0.0,0.0,696226.0,913508.600
45.366,14.173,36.933,0.258,0.0,3.271,26490470.400,5324.800,32827473.500,71577150.300,0.0,0.0,695483.700,908039.400
45.168,14.437,36.818,0.212,0.0,3.366,22163456.0,2048.0,32980192.400,72191749.600,0.0,0.0,693185.200,907793.100
45.219,14.327,36.843,0.182,0.0,3.429,18484838.400,1638.400,32952792.700,71931165.400,0.0,0.0,695316.800,913697.800
45.073,14.168,37.319,0.155,0.0,3.285,15295692.800,1638.400,32849813.900,71600649.800,0.0,0.0,691848.600,907823.900
45.025,14.538,36.989,0.125,0.0,3.323,12761088.0,6092.800,32961287.400,71844614.0,0.0,0.0,693398.100,910010.700
